Cow,ID_Cow_Bracelet_Podometer,Patio,Gynecological_Status,Birth_Date,Daily_Production,Average_Daily_Production_Days,Average_Daily_Production_Percentage,Lactation_Number,Milk_Days,Days_After_Heat,Insemination,Days_After_Insemination,Pregnacy_Days,Inseminator_Name,Bull_Name,Number_of_Abortions,Insemination_Date,Production_Peak,Previous_Lactation_Production,Actual_Lactation_Production
10278,4872,19,Insemination,1/22/2022,47.8,50.3,-5,2,74,20,1,20,0,ROBERTO-DAVID,EXPO,0,3/17/2022,0,8137,3106
10280,0,14,Pregnacy,5/30/2021,0,0,0,1,311,165,3,165,165,JUAN DELGADO-JAIME,MARADONA,0,10/23/2021,32.5,0,6636
10282,5298,20,Labor,2/25/2022,44.2,42.8,3,2,40,0,0,0,0,0,0,0,0,0,7355,1452
10284,1142,14,Pregnacy,3/7/2021,33.1,23.1,43,1,395,87,6,87,87,CARLOS-JEHU,INFOCUS GOLD,1,1/9/2022,34.8,0,11569
10285,6063,21,Labor,3/19/2022,42.7,41.3,3,2,18,0,0,0,0,0,0,0,0,0,9141,453
10287,8047,19,Insemination,1/14/2022,48.1,50.3,-4,2,82,19,1,19,0,CARLOS-JEHU,FALCO,0,3/18/2022,0,8132,3554
10289,4596,20,Labor,2/5/2022,0,0,0,2,60,0,0,0,0,0,0,0,0,0,8616,68
10291,733,20,Heat,2/11/2022,43,43.5,-1,2,54,20,0,0,0,0,0,0,0,0,7985,2068
10292,6433,20,Heat,2/19/2022,42.5,44.4,-4,2,46,14,0,0,0,0,0,0,0,0,7110,1741
10294,502,14,No_Inseminate,5/5/2021,38.6,29.5,31,1,336,171,2,217,0,MIGUEL-MAURICIO,POPSTAR,0,9/1/2021,36,0,10657
10296,6413,19,Insemination,1/18/2022,47.6,44.2,8,2,78,31,1,31,0,ROBERTO-MANUEL,MUSTSEE,0,3/6/2022,0,7362,3099
10300,6665,6,Pregnacy,8/3/2021,43.4,39.9,9,1,246,159,2,159,159,MIGUEL-JAIME,UNCHARTED,0,10/29/2021,47.3,0,9829
10302,5143,21,Labor,3/23/2022,40.2,23.1,74,2,14,0,0,0,0,0,0,0,0,0,6209,315
10303,7303,16,Pregnacy,3/31/2021,21.3,19.9,7,1,371,187,5,187,187,MIGUEL-MAURICIO,SILVER INFOCUS,1,10/1/2021,32.8,0,9702
10305,0,21,Labor,4/2/2022,0,0,0,2,4,0,0,0,0,0,0,0,0,0,8531,0
10306,7578,14,Pregnacy,4/21/2021,34.7,29.1,19,1,350,158,4,158,158,JUAN DELGADO-JAIME,UNCHARTED,0,10/30/2021,40.4,0,11192
10310,2196,14,Pregnacy,3/9/2021,29.9,29.7,1,1,393,158,8,158,158,JUAN DELGADO-JAIME,SILVER INFOCUS,0,10/30/2021,37.6,0,12406
10314,7258,14,Pregnacy,3/4/2021,39.3,41.8,-6,1,398,109,9,109,109,CARLOS-JEHU,INFOCUS GOLD,0,12/18/2021,38.7,0,13472
10315,0,20,Labor,2/25/2022,0,0,0,2,40,0,0,0,0,0,0,0,0,0,7875,0
10316,7274,14,No_Inseminate,3/4/2021,34.1,33.3,2,1,398,61,8,165,0,JUAN DELGADO-JAIME,SILVER INFOCUS,1,10/23/2021,39.1,0,13227
